_id,db_id,last_sync,importer_country_ISO3Code,importer_country_name,importer_subregion,importer_continent,exporter_country_ISO3Code,exporter_country_name,exporter_subregion,exporter_continent,date,commodity,import_share
97895,178893,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-04-01,maize,0.047875000000
97896,178894,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-05-01,maize,0.018363000000
97897,178895,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-06-01,maize,0.063808000000
97898,178896,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-07-01,maize,0.064531000000
97899,178897,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-08-01,maize,0.291723000000
97900,178898,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-09-01,maize,0.019607000000
97901,178899,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-10-01,maize,0.118405000000
97902,178900,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2019-12-01,maize,0.091132000000
97903,178901,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-01-01,maize,0.000544000000
97904,178902,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-02-01,maize,0.155962000000
97905,178903,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-04-01,maize,0.406505000000
97906,178904,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-05-01,maize,0.059221000000
97907,178905,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-06-01,maize,0.567865000000
97908,178906,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-07-01,maize,0.767772000000
97909,178907,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-08-01,maize,0.145749000000
97910,178908,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-09-01,maize,0.453099000000
97911,178909,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-10-01,maize,0.195558000000
97912,178910,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-11-01,maize,0.020008000000
97913,178911,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2020-12-01,maize,0.583332000000
97914,178912,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2021-01-01,maize,0.973476000000
97915,178913,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2021-02-01,maize,0.979358000000
97916,178914,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2021-03-01,maize,0.384058000000
97917,178915,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2021-04-01,maize,0.997053000000
97918,178916,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,2021-05-01,maize,0.173181000000
97919,178917,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-01-01,maize,0.000884000000
97920,178918,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-03-01,maize,0.002069000000
97921,178919,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-04-01,maize,0.004999000000
97922,178920,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-05-01,maize,0.460901000000
97923,178921,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-06-01,maize,0.540874000000
97924,178922,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-07-01,maize,0.000647000000
97925,178923,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-09-01,maize,0.743646000000
97926,178924,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-10-01,maize,0.007215000000
97927,178925,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2019-12-01,maize,0.000598000000
97928,178926,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-01-01,maize,0.000429000000
97929,178927,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-03-01,maize,0.408023000000
97930,178928,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-05-01,maize,0.000176000000
97931,178929,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-06-01,maize,0.000916000000
97932,178930,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-07-01,maize,0.000333000000
97933,178931,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-08-01,maize,0.525727000000
97934,178932,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-09-01,maize,0.001941000000
97935,178933,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-10-01,maize,0.125287000000
97936,178934,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-11-01,maize,0.002136000000
97937,178935,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2020-12-01,maize,0.002967000000
97938,178936,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,BRA,Brazil,South America,Latin America and the Caribbean,2021-03-01,maize,0.000327000000
97939,178937,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-01-01,maize,0.008224000000
97940,178938,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-02-01,maize,0.005707000000
97941,178939,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-03-01,maize,0.001976000000
97942,178940,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-04-01,maize,0.000010000000
97943,178941,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-05-01,maize,0.301985000000
97944,178942,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-06-01,maize,0.394839000000
97945,178943,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-07-01,maize,0.911684000000
97946,178944,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-08-01,maize,0.113932000000
97947,178945,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-09-01,maize,0.014695000000
97948,178946,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-10-01,maize,0.010407000000
97949,178947,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-11-01,maize,0.005934000000
97950,178948,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2019-12-01,maize,0.451851000000
97951,178949,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-01-01,maize,0.733451000000
97952,178950,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-02-01,maize,0.000427000000
97953,178951,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-03-01,maize,0.167701000000
97954,178952,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-04-01,maize,0.592407000000
97955,178953,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-05-01,maize,0.934500000000
97956,178954,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-06-01,maize,0.425170000000
97957,178955,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-07-01,maize,0.213302000000
97958,178956,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-08-01,maize,0.101158000000
97959,178957,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-09-01,maize,0.051451000000
97960,178958,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-10-01,maize,0.005511000000
97961,178959,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-11-01,maize,0.000712000000
97962,178960,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2020-12-01,maize,0.001244000000
97963,178961,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2021-01-01,maize,0.001353000000
97964,178962,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2021-02-01,maize,0.000067000000
97965,178963,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2021-03-01,maize,0.001057000000
97966,178964,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2021-04-01,maize,0.001779000000
97967,178965,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,CHL,Chile,South America,Latin America and the Caribbean,2021-05-01,maize,0.826127000000
97968,178966,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2019-01-01,maize,0.000082000000
97969,178967,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2019-05-01,maize,0.000054000000
97970,178968,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2019-07-01,maize,0.001391000000
97971,178969,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2019-08-01,maize,0.000964000000
97972,178970,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2019-09-01,maize,0.000064000000
97973,178971,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2019-10-01,maize,0.000089000000
97974,178972,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2019-11-01,maize,0.000009000000
97975,178973,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-02-01,maize,0.000170000000
97976,178974,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-03-01,maize,0.062389000000
97977,178975,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-04-01,maize,0.000631000000
97978,178976,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-06-01,maize,0.000559000000
97979,178977,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-07-01,maize,0.000672000000
97980,178978,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-08-01,maize,0.000244000000
97981,178979,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-09-01,maize,0.000051000000
97982,178980,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-10-01,maize,0.000093000000
97983,178981,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-11-01,maize,0.000004000000
97984,178982,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2020-12-01,maize,0.000841000000
97985,178983,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2021-01-01,maize,0.001430000000
97986,178984,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2021-03-01,maize,0.000067000000
97987,178985,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,FRA,France,Western Europe,Europe,2021-05-01,maize,0.000001000000
97988,178986,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,DEU,Germany,Western Europe,Europe,2019-09-01,maize,0.000047000000
97989,178987,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,DEU,Germany,Western Europe,Europe,2020-09-01,maize,0.000161000000
97990,178988,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ITA,Italy,Southern Europe,Europe,2019-07-01,maize,0.000158000000
97991,178989,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ITA,Italy,Southern Europe,Europe,2019-09-01,maize,0.000010000000
97992,178990,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ITA,Italy,Southern Europe,Europe,2019-11-01,maize,0.001463000000
97993,178991,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ITA,Italy,Southern Europe,Europe,2020-10-01,maize,0.000136000000
97994,178992,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ITA,Italy,Southern Europe,Europe,2020-11-01,maize,0.000030000000
97995,178993,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-02-01,maize,0.003394000000
97996,178994,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-03-01,maize,0.002522000000
97997,178995,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-04-01,maize,0.000021000000
97998,178996,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-05-01,maize,0.000096000000
97999,178997,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-06-01,maize,0.000325000000
98000,178998,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-07-01,maize,0.000004000000
98001,178999,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-08-01,maize,0.005847000000
98002,179000,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-09-01,maize,0.000015000000
98003,179001,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-10-01,maize,0.004928000000
98004,179002,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2019-11-01,maize,0.000010000000
98005,179003,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2020-04-01,maize,0.000041000000
98006,179004,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2020-06-01,maize,0.001141000000
98007,179005,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2020-07-01,maize,0.000389000000
98008,179006,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2020-08-01,maize,0.002889000000
98009,179007,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2020-09-01,maize,0.000253000000
98010,179008,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2020-10-01,maize,0.000484000000
98011,179009,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2020-11-01,maize,0.000002000000
98012,179010,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2021-01-01,maize,0.000007000000
98013,179011,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2021-02-01,maize,0.014362000000
98014,179012,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2021-03-01,maize,0.001121000000
98015,179013,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2021-04-01,maize,0.000026000000
98016,179014,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,MEX,Mexico,Central America,Latin America and the Caribbean,2021-05-01,maize,0.000008000000
98017,179015,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,PER,Peru,South America,Latin America and the Caribbean,2020-10-01,maize,0.001809000000
98018,179016,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,PER,Peru,South America,Latin America and the Caribbean,2021-01-01,maize,0.002994000000
98019,179017,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,PER,Peru,South America,Latin America and the Caribbean,2021-03-01,maize,0.000200000000
98020,179018,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,PHL,Philippines,South-eastern Asia,Asia,2019-05-01,maize,0.000018000000
98021,179019,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,PHL,Philippines,South-eastern Asia,Asia,2020-08-01,maize,0.000001000000
98022,179020,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,PHL,Philippines,South-eastern Asia,Asia,2020-10-01,maize,0.000019000000
98023,179021,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,PHL,Philippines,South-eastern Asia,Asia,2021-04-01,maize,0.001095000000
98024,179046,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,ZAF,South Africa,Southern Africa,Africa,2019-08-01,maize,0.001865000000
98025,179047,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,TUR,Turkey,Western Asia,Asia,2020-05-01,maize,0.000089000000
98026,179048,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-01-01,maize,0.271928000000
98027,179049,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-02-01,maize,0.573419000000
98028,179050,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-03-01,maize,0.000210000000
98029,179051,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-04-01,maize,0.946449000000
98030,179052,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-05-01,maize,0.218583000000
98031,179053,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-06-01,maize,0.000149000000
98032,179054,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-07-01,maize,0.021132000000
98033,179055,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-08-01,maize,0.580148000000
98034,179056,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-09-01,maize,0.199748000000
98035,179057,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-10-01,maize,0.855398000000
98036,179058,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-11-01,maize,0.992119000000
98037,179059,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2019-12-01,maize,0.456308000000
98038,179060,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2020-01-01,maize,0.136939000000
98039,179061,2021-09-03T20:06:13,ARG,Argentina,South America,Latin America and the Caribbean,USA,United States of America,Northern America ,Americas,2020-02-01,maize,0.000512000000
