Country,FAO_Data,WorldBank_Data,WFP_Data,EMDAT_Data,WPR_Data,Total_Sources,Missing_Sources
Faroe Islands,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Fragile and conflict affected situations,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Gambia, The",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Gibraltar,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Guam,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Heavily indebted poor countries (HIPC),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
High income,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Hong Kong SAR, China",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
IBRD only,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
IDA & IBRD total,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
IDA blend,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
IDA only,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
IDA total,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Iran, Islamic Rep.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Isle of Man,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Korea, Dem. People's Rep.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Korea, Rep.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Kosovo,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Kyrgyz Republic,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Lao PDR,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Late-demographic dividend,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Latin America & Caribbean,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Latin America & Caribbean (excluding high income),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Latin America & the Caribbean (IDA & IBRD countries),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Least developed countries: UN classification,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Liechtenstein,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Low & middle income,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Low income,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Lower middle income,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Macao SAR, China",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Micronesia, Fed. Sts.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Middle East, North Africa, Afghanistan & Pakistan",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Middle income,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Moldova,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Monaco,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Netherlands,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
North America,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Northern Mariana Islands,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Not classified,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
OECD members,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Other small states,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Pacific island small states,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Post-demographic dividend,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Pre-demographic dividend,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Puerto Rico (US),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
San Marino,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Sint Maarten (Dutch part),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Slovak Republic,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Small states,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Somalia, Fed. Rep.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
South Asia,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
South Asia (IDA & IBRD),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
St. Kitts and Nevis,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
St. Lucia,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
St. Martin (French part),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
St. Vincent and the Grenadines,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Sub-Saharan Africa,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Sub-Saharan Africa (excluding high income),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Sub-Saharan Africa (IDA & IBRD countries),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Tanzania,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Turkiye,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Turks and Caicos Islands,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
United Kingdom,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
United States,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Upper middle income,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Venezuela, RB",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Virgin Islands (U.S.),FALSE,TRUE,FALSE,TRUE,FALSE,2,3
West Bank and Gaza,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
World,FALSE,TRUE,FALSE,TRUE,FALSE,2,3
"Yemen, Rep.",FALSE,TRUE,FALSE,TRUE,FALSE,2,3
Albania,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
American Samoa,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Andorra,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Antigua and Barbuda,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Australia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Austria,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Azerbaijan,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Bahrain,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Barbados,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Belgium,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Belize,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Bermuda,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Bosnia and Herzegovina,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Botswana,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Brazil,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Brunei Darussalam,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Bulgaria,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Cabo Verde,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Canada,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Chile,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Comoros,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Costa Rica,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Croatia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Cuba,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Cyprus,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Czechia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Denmark,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Dominica,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Equatorial Guinea,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Estonia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Finland,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
France,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
French Polynesia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Germany,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Greece,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Greenland,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Grenada,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Guyana,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Hungary,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Iceland,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Ireland,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Israel,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Italy,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Jamaica,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Japan,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Kiribati,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Kuwait,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Latvia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Lithuania,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Luxembourg,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Malaysia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Maldives,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Malta,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Marshall Islands,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Mauritius,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Montenegro,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Morocco,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Nauru,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
New Caledonia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
New Zealand,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
North Macedonia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Norway,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Oman,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Palau,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Papua New Guinea,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Poland,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Portugal,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Qatar,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Romania,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Samoa,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Sao Tome and Principe,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Saudi Arabia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Serbia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Seychelles,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Singapore,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Slovenia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Solomon Islands,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Spain,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Suriname,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Sweden,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Switzerland,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Tonga,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Trinidad and Tobago,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Tunisia,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Turkmenistan,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Tuvalu,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
United Arab Emirates,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Uruguay,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Uzbekistan,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Vanuatu,TRUE,TRUE,FALSE,TRUE,FALSE,3,2
Afghanistan,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Algeria,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Angola,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Argentina,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Armenia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Bangladesh,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Belarus,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Benin,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Bhutan,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Burkina Faso,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Burundi,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Cambodia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Cameroon,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Central African Republic,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Chad,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
China,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Colombia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Djibouti,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Dominican Republic,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Ecuador,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
El Salvador,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Eritrea,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Eswatini,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Ethiopia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Fiji,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Gabon,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Georgia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Ghana,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Guatemala,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Guinea,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Guinea-Bissau,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Haiti,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Honduras,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
India,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Indonesia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Iraq,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Jordan,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Kazakhstan,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Kenya,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Lebanon,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Lesotho,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Liberia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Libya,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Madagascar,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Malawi,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Mali,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Mauritania,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Mexico,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Mongolia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Mozambique,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Myanmar,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Namibia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Nepal,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Nicaragua,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Niger,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Nigeria,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Pakistan,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Panama,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Paraguay,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Peru,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Philippines,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Russian Federation,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Rwanda,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Senegal,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Sierra Leone,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
South Africa,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
South Sudan,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Sri Lanka,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Sudan,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Syrian Arab Republic,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Tajikistan,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Thailand,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Timor-Leste,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Togo,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Uganda,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Ukraine,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Viet Nam,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Zambia,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
Zimbabwe,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
